titles,category
reassessing the genetic lineage tracing of lingual lgr    and lgr    cells in vivo,생물학
the nasal lymphatic route of csf outflow  implications for neurodegenerative disease diagnosis and monitoring,생물학
endothelial periostin regulates vascular remodeling by promoting endothelial dysfunction in pulmonary arterial hypertension,생물학
eugenol ameliorates uveitis in mice with experimental autoimmune encephalomyelitis through the suppression of key inflammatory genes,생물학
new insight of square stepping exercise in immune fine tuning for anticipating emerging pandemics,생물학
blocking slc a   attenuates the proliferation of esophageal squamous cell carcinoma cells,생물학
anti obesity and immunomodulatory effects of oil and fermented extract dried from tenebrio molitor larvae on aged obese mice,생물학
generation of mouse and rat xenogeneic ovaries in vitro for production of mouse oocyte,생물학
lamin a c facilitates dna damage response by modulating atm signaling and homologous recombination pathways,생물학
camellia sinensis l  alleviates ova induced allergic asthma through nf  b and mmp   pathways,생물학
gender specific alteration of steroid metabolism and its impact on viral replication in a mouse model of hepatitis b virus infection,생물학
cxcl   promotes melanoma angiogenesis and tumor growth,생물학
low temperature pulverization specific sargassum horneri extract accelerates wound healing and attenuates inflammation in a mouse burn model,생물학
roles of prion proteins in mammalian development,생물학
emerging roles of cytoskeletal transport and scaffold systems in human viral propagation,생물학
ank mediated pyrophosphate regulates shear stress induced small extracellular vesicle production in  d cultured osteocytes,생물학
tortoise shell glue ameliorates male infertility through the hypothalamic pituitary gonadal axis in obese rats,생물학
role of carbohydrate response element binding protein in mediating dexamethasone induced glucose transporter   expression in caco  bbe cells and during the developmental phase in mice,생물학
effect of aerobic exercise and particulate matter exposure duration on the diversity of gut microbiota,생물학
identifying candidate genes associated with hippocampal dysfunction in a hemiparkinsonian rat model by transcriptomic profiling,생물학
inducing aortic aneurysm dissection in zebrafish  evaluating the efficacy of   aminopropionic nitrile as a model,생물학
ca    homeostasis and male fertility  a target for a new male contraceptive system,생물학
unraveling the structure  chemical composition  and conserved signaling in leech teeth,생물학
circadian coordination  understanding interplay between circadian clock and mitochondria,생물학
recent advances in anticancer mechanisms of molecular glue degraders  focus on rbm   dgrading synthetic sulfonamide such as indisulam  e      tasisulam  and chloroquinoxaline sulfonamide,생물학
comparative analysis of the transcriptomes from regenerated plants and root explants of endangered oplopanax elatus,생물학
kernel based hierarchical structural component models for pathway analysis on survival phenotype,생물학
clinical report and genetic analysis of a chinese family with retinitis pigmentosa    caused by a novel loss of function hk  variant,생물학
integrated analysis of single cell rna seq and bulk rna seq revealed key genes for bone metastasis and chemoresistance in prostate cancer,생물학
units containing telomeric repeats are prevalent in subtelomeric regions of a mesorhabditis isolate collected from the republic of korea,생물학
granzyme mrna mirna interaction and its implication to functional impact,생물학
notes of five wood decaying fungi from juwangsan national park in korea,생물학
cloning and expression analysis of bioluminescence genes in omphalotus guepiniiformis reveal stress dependent regulation of bioluminescence,생물학
novel sarcoscypha species from national parks in korea  sarcoscypha humida sp  nov ,생물학
a new species of ganoderma  ganodermataceae  polyporales  from southern china and optimum condition for mycelia production,생물학
re identification of aspergillus subgenus nidulantes strains and description of three unrecorded species from korea,생물학
fungal diversity in nam river and their biodegradative activities,생물학
emergence and potential spread of rust disease on wisteria floribunda and corydalis incisa influenced by climate change in korea,생물학
effects of black and white mulch on mycelial growth of tuber species in korean field environment,생물학
inoculants of arbuscular mycorrhizal fungi influence growth and biomass of terminalia arjuna under amendment and anamendment entisol,생물학
molecular identification of a new species of absidia  cunninghamellaceae  mucorales  isolated from soil in korea,생물학
taxonomic re evaluation of the genus fuscoporia in the republic of korea including three unrecorded species,생물학
phylogenetic and morphological analysis of a novel tolypocladium species isolated from soil in south korea,생물학
correction,생물학
comparative study of mechanical and biological pretreatment for releasing spores of black truffle tuber aestivum,생물학
comparative analysis of rhizosphere fungal communities in korean fir trees,생물학
strengthening the korean network of microbial culture collections in the microbiome era,생물학
enhancing eritadenine production in submerged cultures of shiitake   lentinula edodes berk  pegler  using blue led light and activated charcoal  revealing eritadenine s novel in vitro bioherbicidal activity against chrysanthemum morifolium,생물학
re identification of strains from aspergillus section aspergillus and description of three unrecorded species from korea,생물학
identification of pseudoperonospora cubensis rxlr effector genes via genome sequencing,생물학
circadian coordination  understanding interplay between circadian clock and mitochondria,생물학
dietary exposure of the water flea daphnia galeata to microcystin lr,생물학
transcriptional corepressor activity of ctbp  is regulated by isg   modification,생물학
factors affecting the cleavage efficiency of the crispr cas  system,생물학
sonic vibration ameliorates inflammatory diseases via the up regulation of il   ,생물학
ginkgo biloba extract ameliorates skin fibrosis in a bleomycin induced mouse model of systemic sclerosis,생물학
the impact of meis  tale homeodomain transcription factor knockdown on glioma stem cell growth,생물학
scoparone attenuates pd l  expression in human breast cancer cells by mkp   upregulation,생물학
hspa  and fgfr  genes in the mesenchymal subtype of glioblastoma can improve a treatment efficacy,생물학
mir    and mir     regulate trail induced drug tolerance in lung cancer,생물학
producing highly effective extracellular vesicles using ibar and talin f  domain fusion,생물학
effect of rnf   a deficiency on oxidative stress induced nrf  pathway,생물학
cell autonomous reduction of cyfip  changes dendrite length  dendritic protrusion morphology  and inhibitory synapse density in the hippocampal ca  pyramidal neurons of    month old mice,생물학
establishment of a stress granule reporter system for evaluating in vitro colon toxicity,생물학
ecm stiffness regulates calcium influx into mitochondria via tubulin and vdac  activity,생물학
licochalcone a attenuates nmda induced neurotoxicity,생물학
escrt iii  a versatile membrane remodeling machinery and its implications in cellular processes and diseases,생물학
nitrogen doped carbon quantum dot regulates cell proliferation and differentiation by endoplasmic reticulum stress,생물학
effects of maternal nonylphenol exposure on the proliferation of glial cells in the brain of male offspring mice,생물학
piperlongumine regulates genes involved in the skin barrier in epidermal keratinocyte hacat cells,생물학
ap         promotes the proliferation of esophageal squamous cell carcinoma cells by histone lactylation  and nf  b  p    dependent transcription activation and mettl  mediated mrna stability of c myc,생물학
integrative transcriptomic profiling uncovers immune and functional responses to bisphenol a across multiple tissues in male mice,생물학
reprogramming of tumor associated macrophages by metabolites generated from tumor microenvironment,생물학
improved understanding of the macrofungal diversity of mongolia  species richness  conservation status  and an annotated checklist,생물학
fungal microbiome of alive and dead korean fir in its native habitats,생물학
triangularia manubriata sp  nov   a novel fungal species belonging to the family podosporaceae isolated from soil in korea,생물학
miracula polaris   a new species of miracula from the east fjords of iceland,생물학
effects of environmental and nutritional conditions on mycelium growth of three basidiomycota,생물학
taxonomy  phylogeny  and host expansion of powdery mildew fungi parasitic to veronica species,생물학
antifungal activity of   hydrazinoquinoxaline    thiol  a novel quinoxaline derivative against candida species,생물학
the unknown within the known  nucleolus  understudied compartment in the filamentous fungi,생물학
pythium aphanidermatum as a novel oomycete pathogen causing leak on potato  solanum tuberosum  in korea,생물학
designing a novel primer set for gapdh gene to enhance taxonomic and phylogenetic studies of golovinomyces species,생물학
morphological and phylogenetic characterization of trichomerium koreanum sp  nov  and exophiala radicis belonging to chaetothyriales fungi in korea,생물학
degradation of high concentrations of anthracene using white rot wood inhabiting fungi and investigation of enzyme activities,생물학
a new edible wild mushroom species  panus sribuabanensis  panaceae  polyporales  from northern thailand and its nutritional composition  total phenolic content  and antioxidant activity,생물학
a story between s and s   het s  prion of the fungus podospora anserina,생물학
diversity and community structure of endophytic fungi isolated from the brown seaweed sargassum thunbergii in coastal regions of korea,생물학
genome wide identification and expression profiling of the wnt gene family in three abalone species,생물학
roles and action mechanisms of nrip  in pre eclampsia,생물학
association mapping analysis  ama  for morpho agronomic traits and leaf aromatic compounds using ssr markers in three types of perilla crop collected from south korea,생물학
genome wide analysis of the potato grf gene family and their expression profiles in response to hormone and ralstonia solanacearum infection,생물학
weighted gene co expression network analysis and identification of ginsenoside biosynthesis candidate genes for ginseng adventitious roots under meja treatment,생물학
gvaf  generalized  flexible filtering software for annotated variant files,생물학
taxonomic and distributional notes on four recently described stenaelurillus species from india  araneae  salticidae ,생물학
a new record of rondibilis amanoi  hayashi   coleoptera  cerambycidae  lamiinae  from korea with a key to korean rondibilis species,생물학
two genera  stenaesthetus sharp and octavius fauvel  coleoptera  staphylinidae  euaesthetinae   new to korea,생물학
molecular phylogeny and taxonomic review of the family pomacentridae from korea,생물학
are aquatic plants really endangered in tajikistan  core area of the mountains of central asia global biodiversity hotspot  ,생물학
a study on the intertidal animal diversity of xia sanheng island by using morphological and dna barcoding identification,생물학
  tocopherol and   tocopherol decrease inflammatory response and insulin resistance during the interaction of adipocytes and macrophages,생활과학
p coumaric acid modulates cholesterol efflux and lipid accumulation and inflammation in foam cells,생활과학
development and validation of a semi quantitative food frequency questionnaire as a tool for assessing dietary vitamin d intake among korean women,생활과학
evaluating the effectiveness of a food literacy pilot program for university students  using a mixed  methods research approach,생활과학
food preparation on a budget  an analysis of food consumption practices and the role of health consciousness,생활과학
asparagi radix alleviates testosterone induced benign prostatic hyperplasia by inhibiting    reductase activity and androgen receptor signaling pathway,생활과학
effects of quercetin nanoemulsion on sirt  activation and mitochondrial biogenesis in the skeletal muscle of high fat diet fed mice,생활과학
associations between weight control methods and depression among korean adolescents  a study based on a national dataset,생활과학
daily consumption of specific categories of fruit and vegetables negatively correlated with frailty  findings from the us national health and nutrition examination survey,생활과학
exploring the potential utility of a single item perceived diet quality measure,생활과학
association of the korean healthy eating index and sleep duration with prediabetes in middle aged adults,생활과학
analysis of hotspots and emerging trends in school foodservice research using citespace,생활과학
중소도시 주거환경정비사업의 효율적 추진을 위한 우선순위 도출,생활과학
사랑공간이 있는 충북 전통주택의 평면 구성 특성,생활과학
국내 고령친화 스마트홈의 사회 이슈 및 연구 동향 분석과 발전 전망,생활과학
거주후 평가 poe 를 통한 모듈러 주택의 인식 및 만족도 연구   용인 영덕 경기행복주택을 중심으로  ,생활과학
스마트팜과 연계한 청년 공유주거의 설계방안   인천광역시 제물포역 인근 주거지를 대상으로  ,생활과학
내가 만든 집   사용자 참여가 공동주택 주거 만족도에 미치는 영향 사례연구  ,생활과학
children s cloth face mask sizing and digital fit analysis  method development,생활과학
thermal effects of rayon and polyester hijabs in warm humid and hot dry environments,생활과학
cooling performance measurements of different types of cooling vests using thermal manikin,생활과학
fake human but real influencer  the interplay of authenticity and humanlikeness in virtual influencer communication ,생활과학
reduction of greenhouse gas emissions by optimizing the textile dyeing process using digital twin technology,생활과학
fabric perceptions in digital contexts  exploring the correlation between certainty and accuracy,생활과학
exploring direct and indirect cultural experiences  a study of global consumers  hanbok experience and engagement mediated via youtube,생활과학
investigating parameters affecting the real and virtual drapability of silk fabrics for traditional hanbok,생활과학
the neighborhood advantage  exploring the impact of negotiation costs on transaction satisfaction in local second hand trading platforms,생활과학
diffusion of fashion trend information  a study on fashion image mining from various sources,생활과학
fit models  roles in identifying fit issues in the apparel technical design process and implications for improving  d virtual fitting,생활과학
relationships between morphological factors and heat extraction from the upper arm using liquid cooling garment,생활과학
analysis of plantar pressure of midsole prepared by  d printed biomimetic structures with different densities,생활과학
analysis of fabric movement and dust removal performance due to twist motion in a clothing care system,생활과학
color fastness and antimicrobial activity of gardenia jasminoides extract against antimicrobial resistant staphylococcus aureus,생활과학
facile fabrication and characterization of mxene cellulose composites for electrical properties  electric heating performance,생활과학
development of a fabric classification system using drapability and tactile characteristics,생활과학
unsupervised generation of fashion editorials using deep generative model,생활과학
persona scenario  p s  toolkit enhancing inclusive fashion design education,생활과학
southeast asian consumer acceptance of  d virtual fitting technologies in cross border online shopping,생활과학
assembled or unassembled  different types of outfit coordination presentations in online fashion retailing,생활과학
patterns of co evolution  analyzing fashion brand and sewing contractor company dynamics,생활과학
sustainable threads  analyzing the impact of corporate social performance  csr message authenticity and information transparency on purchase intentions,생활과학
a soft wearable exoglove for rehabilitation assistance  a novel application of knitted shape memory alloy as a flexible actuator,생활과학
braille glove design toward interdisciplinary approach for visually impaired people  developing independent sensing design with mxene and embroidery,생활과학
date estimation of fabrication and repair of color garments encouragement banner,생활과학
opportunities and challenges of smart technology for small independent fashion retailers  a reflexive thematic analysis using the technology organization environment framework,생활과학
development and printing of three dimensional electrodes for the high body adhesion of smart wear,생활과학
ergonomic glove pattern drafting method for hand assistive devices  considering  d hand dimensions and finger mobility,생활과학
reinforcement structure design and matrix model establishment of tubular  d weaving based on ordinary loom,생활과학
application and evaluation knitted electrodes for body signal measurement using adhesive intermediate electrode,생활과학
effect of substrate fabric characteristics on the peel strength of  d printed composite fabrics,생활과학
청소년 우울 수준을 고려한 교육공간의 바이오필릭 디자인 적용 방안,생활과학
괴시마을 전통주택 평면 유형과 산업근대기 이후의 변화 특성,생활과학
공공임대주택 관리서비스 실태 및 구성 요인별 중요도 분석,생활과학
국내 소규모 노인지원주택 우수 사례의 공간 및 서비스 특성 분석,생활과학
ultraviolet resistance on weft knitted fabric coated by benzotriazoles,생활과학
intelligent techniques and optimization algorithms in textile colour management  a systematic review of applications and prediction accuracy,생활과학
improved flame retardancy and mechanical properties of bacterial cellulose fabrics via solvent exchange and entrapment of zein and gluten,생활과학
multilayer textile based concept for non invasive biosensor platform,생활과학
optimization of automatic classification for women s pants based on the swin transformer model,생활과학
wearable textile antennas  investigation on material variants  fabrication methods  design and application,생활과학
functional performance of a novel compression top for female throwing athletes,생활과학
enhanced content based fashion recommendation system through deep ensemble classifier with transfer learning,생활과학
multi pose dress simulation of fully fashioned knitted skirt based on loop structure,생활과학
morphing torso mannequin for pressure measurement and scoliotic brace efficacy evaluation,생활과학
다양한 조리 방법에 따른 수미감자의 항산화 및 항당뇨 활성 평가,생활과학
경기지역 일부 초등학교에서 샐러드 섭취가 높은 고학년생의 샐러드에 대한 인식  식습관  샐러드 채소 및 드레싱 기호도,생활과학
액티브시니어들이 선호하는 농촌 치유활동 분석   포커스그룹 인터뷰 fgi 를 중심으로,생활과학
청년창업 지원사업 사례지역 분석을 통한 지역연계 강화방안 연구   청년마을과 청년센터를 중심으로  ,생활과학
맞벌이 여부에 따른 식품 구매 및 외식 행태 분석            년 식품 소비 행태 조사 자료 이용,생활과학
광주지역 대학교 기숙사생의 성별 식품 기호도와 기숙사 식당의 시각적 요인의 만족도 조사,생활과학
부채부담 수준에 따른 가계유형별 특성 및 결정요인,생활과학
우리나라 노인의 가구형태와 식이보충제 복용여부에 따른 영양상태 평가  제 기 국민건강영양조사를 이용하여,생활과학
청년의 비만에 따른 건강 관련 습관  신체활동 및 식생활평가지수            국민건강영양조사 자료 분석 ,생활과학
키워드 네트워크 분석을 활용한 결혼가치관 관련 연구동향 분석,생활과학
영상매체에 표현된 샬럿 charlotte  여왕 복식의 표현효과   들롱 이론을 중심으로  ,생활과학
마테차박 추출물의 침지가 닭고기 소시지의 품질 및 항산화 활성에 미치는 영향,생활과학
어머니의 양육 불안과 부모 소진 간 관계   자기 자비의 매개효과와 사회적 지지의 조절된 매개효과,생활과학
관계인구 개념을 적용한 농촌 유형화 연구,생활과학
식생활 라이프스타일에 따른 대체소재 면류 식품 선호도 분석   단백질 강화 및 칼로리 저감 제품,생활과학
더블일레븐 쇼핑 페스티벌에 참여한 중국 mz 소비자의 쇼핑 동기가 감정적 혜택과 불만족에 미치는 영향,생활과학
청년 승계농의 직무스트레스가 건강 관련 삶의 질에 미치는 영향  보건 의료 만족도와 문화 여가 만족도의 이중매개효과를 중심으로,생활과학
빅데이터 분석을 활용한 저경력 영양교사에 대한 교직 적응 요인 연구,생활과학
태국인의 식품소비가치에 따른 가정간편식 소비행동,생활과학
비만인의 건강행태에 대한 연도별 변화 분석           년 지역사회건강조사 자료,생활과학
텍스트 마이닝 기법을 활용한 온라인 뉴스 기사의 중장년 주거 토픽 분석,생활과학
지속가능한 패션브랜드의 스토리텔링과 지속가능성에 대한 소비 가치가 소비자 신뢰와 구매의도에 미치는 영향,생활과학
사티어 이론에 기반한 중학교 가정과 의사소통 프로그램 개발,생활과학
주거복지 전문인력의 지역사회자원 연계 과정과 업무 중요도 인식,생활과학
패션제품 렌탈서비스 지각이 렌탈서비스 플랫폼 사용 의도에 미치는 영향  공유경제 플랫폼 사용 경험자를 중심으로,생활과학
가족센터 적용을 위한     개월 영아기 양육자 자녀관계검진 프로그램 개발 연구,생활과학
아버지의 완벽주의 유형에 따른 양육 스트레스와 양육 참여,생활과학
디지털 리터러시 함양을 위한 가정교과 수업과정안 개발       개정 가정과 교육과정 의생활 영역을 중심으로,생활과학
habermas의 세 행동체계 관점에서 본 캐나다 온타리오주 가정과 교육과정 성취기준 분석,생활과학
뮤지컬  록키 호러 쇼 에 나타난 캠프 스타일의 특성과 그레마스 기호학적 의미 분석,생활과학
교과 연계형 비교과 교육과정 co curriculum  설계 및 운영  디자인적 사고 기반 모듈형 메이커 교육 프로그램 중심으로 ,생활과학
고려시대 과문    의 조형성을 활용한 텍스타일 디자인 개발,생활과학
 d 프린팅 기법을 활용한 패션디자인의 조형 특성에 관한 연구,생활과학
웹    시대의 패션데이터 활용을 위한 연구  오픈패션 개념과 오픈패션 라이선스 제안,생활과학
메타버스 플랫폼 간 상호연동을 위한 가상의류의 디자인 요소와 설계 방식 비교 분석 연구,생활과학
상부 자세 교정을 위한 ems 흉추 보호대 개발,생활과학
nonlinear effects of a laser phase conjugate wave and synchronization transmission of a signal,물리학
wireless optical coherent communication uses beacon light wavefront correction with different wavelengths,물리학
theoretical investigation of an intrinsic fast optical fiber mz temperature sensor based on a distal pdms coated microguide,물리학
tunable modulation transfer spectroscopy for a type ii magneto optical trap of    rb atoms,물리학
analysis of in pixel scattering trench patterns for high sensitivity near infrared pixel,물리학
표면증강 라만 분광 기반 고감도 가스분석 연구 동향 및 전망,물리학
비대칭 배광 횡단보도 투광등 조명계의 눈부심 감소 및 균일도 향상을 위한 연구,물리학
particle counter using a gaussian line beam formed by decentered multiple lenses,물리학
single shot transport of intensity equation using a lateral displacement beam splitter module for biological samples,물리학
fabrication and evaluation of air spaced achromatic objective lens system for confocal laser endomicroscopy,물리학
